Username,Review,Media,Rating,Date
wahyu,"wangi maskulin, cocok buat bapak"" metropolitan usia 40thn  up. kalau buat pemula aromanya menyenangkan,menenangkan & membagongkan . penjual ramah, rekomendasi. lo...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,3 bulan lalu
Reynaldi,"GILAKKKK ENAK BANGET BANGETTTTTTT. Pagi di pake, malem masih keciummmm. Ga nyesell sumpah!!!! Packaging juga aman parah, terus cuteee njirrr","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
A***g,"kesan aromanya warmth dan bold sesuai deskripsi, dapat free sample varian samosir 😆","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,2 bulan lalu
Muhtadil,Project 1945 belum pernah gagal sih aromanya. Cowok-cowok yang suka aroma warm spicy clove patchouli cocok banget 🧡🧡🧡🧡🧡 kalo mau cobain tester 1 ml dan 2 ml bisa jug...,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
Riyan,wanginya enak seger ada sensasi vanila yg bikin smooth so far tidak mengecewakan. the best🙏🏻,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
Muhammad,"pas wanginya utk sore-malem & 6 jam-an ketahananya... ngingetin wangi kyk parfum bokap dulu yg mahal, gk tau merk apa","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
M***s,"packaging bagus sekali, kualitas wanginya enak sekali, dan kecepatan proses adminnya dalam mengirimkan barang cepat sekali. sangat puass!",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
Arie,"masyaallah mantap, kemarin beli samplenya 3 variant dan suka banget buat wanginya , tapi akhirnya pilih yang ini, karna yang paling cocok untuk hari2. pengiriman cepat re...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Rio,"Pembelian kedua dari Project 1945, untuk wangi ini spicy. Di awal manis tapi gak langsung nendang. Butuh beberapa detik untuk wangi utamanya muncul. Cocok buat pemakaian...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
I***m,"Langsung beli 3 varian karena wanginya enak enak. Dapat tester juga 3 varian, 1 samosir dan 2 petruk. Tapi kenapa petruknya double ya, padahal kan bisa ganti horas satuny...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,2 bulan lalu
MN,"Dari wanginya suka banget si karena masculine banget dan top notes sama bottom notes kerasa perbedaanya juga, packaging bagus dan rapih. Tapi kurang dari segi ketahanan,...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,4,Lebih dari 1 tahun lalu
Dimas,"serius sih, dari varian-varian 1945 aroma ini yg paling nempel di hidungku. Wanginya awalnya kenceng kapulaga campur jeruk terus berubah jadi soft vanilla dg hint aroma l...",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
B***a,"wanginya enak bgt seger, adminnya responsif banget ada masalah dikit langsung dikasih solusi❤️",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,Lebih dari 1 tahun lalu
Lisa,"Menurutku wanginya ngga terlalu menyengat, pas untuk dipakai sehari2 pas ngantor.",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
